flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,31271,4082218,76359,1,1,2015-12-27 11:59:51,det,2015-12-27 11:59:52,15,57,143,47,11,4,25,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4082218,76359,2,21,2015-12-27 19:01:55,addf,2015-12-27 19:04:13,18,62,159,48,15,4,27,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4082218,76359,2,21,2015-12-27 19:01:55,det,2015-12-27 19:02:46,18,62,159,48,15,4,27,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4307947,76359,2,29,2015-12-27 19:01:55,det,2015-12-27 19:06:41,30,7,76,30,20,0,17,297.0,139.0,6.0
0,2015-12-27,bdp_java,Android,31271,4332048,76359,1,7,2015-12-27 18:13:16,addf,2015-12-27 18:58:08,18,0,9,18,1,3,0,297.0,139.0,5.0
0,2015-12-27,bdp_java,Android,31271,4332048,76359,1,7,2015-12-27 18:13:16,det,2015-12-27 18:57:51,18,0,9,18,1,3,0,297.0,139.0,5.0
0,2015-12-27,bdp_java,Android,31271,4332048,76359,1,7,2015-12-27 18:13:16,det,2015-12-27 18:58:10,18,0,9,18,1,3,0,297.0,139.0,5.0
0,2015-12-27,bdp_java,Android,31271,4405448,76359,1,2,2015-12-27 11:59:51,det,2015-12-27 11:59:59,22,59,158,73,19,35,10,297.0,139.0,2.0
0,2015-12-27,bdp_java,Android,31271,4453713,76359,1,15,2015-12-27 18:13:16,det,2015-12-27 19:03:01,2,0,0,1,5,0,0,297.0,139.0,0.0
0,2015-12-27,bdp_java,Android,31271,47165,76359,1,9,2015-12-27 18:13:16,det,2015-12-27 18:58:23,32,10,39,15,40,6,0,297.0,139.0,273.0
0,2015-12-27,bdp_java,Android,3517085,130383,247034,2,18,2015-12-27 18:53:53,det,2015-12-27 18:54:57,14,0,5,4,18,11,0,37.0,36.0,180.0
0,2015-12-27,bdp_java,Android,3517085,137007,247034,2,16,2015-12-27 18:53:53,addf,2015-12-27 18:54:19,5,0,6,5,4,5,2,37.0,36.0,176.0
0,2015-12-27,bdp_java,Android,3517085,137007,247034,2,16,2015-12-27 18:53:53,det,2015-12-27 18:54:09,5,0,6,5,4,5,2,37.0,36.0,176.0
0,2015-12-27,bdp_java,Android,3517085,137007,247034,2,16,2015-12-27 18:53:53,det,2015-12-27 18:54:38,5,0,6,5,4,5,2,37.0,36.0,176.0
0,2015-12-27,bdp_java,Android,3517085,1504403,247034,1,11,2015-12-27 18:32:16,addf,2015-12-27 18:53:15,11,1,3,8,14,5,2,37.0,36.0,87.0
0,2015-12-27,bdp_java,Android,3517085,1504403,247034,1,11,2015-12-27 18:32:16,chat,2015-12-27 18:57:34,11,2,4,8,15,5,3,37.0,36.0,87.0
0,2015-12-27,bdp_java,Android,3517085,1504403,247034,1,11,2015-12-27 18:32:16,det,2015-12-27 18:53:01,11,1,3,8,14,5,2,37.0,36.0,87.0
0,2015-12-27,bdp_java,Android,3517085,3399637,247034,3,43,2015-12-27 18:54:00,det,2015-12-27 18:54:43,0,0,0,0,0,0,0,37.0,36.0,41.0
0,2015-12-27,bdp_java,Android,3517085,362048,247034,1,5,2015-12-27 18:32:16,addf,2015-12-27 18:49:04,30,29,36,18,5,0,15,37.0,36.0,118.0
0,2015-12-27,bdp_java,Android,3517085,362048,247034,1,5,2015-12-27 18:32:16,det,2015-12-27 18:32:43,30,29,36,18,5,0,15,37.0,36.0,118.0
0,2015-12-27,bdp_java,Android,3517085,362048,247034,1,5,2015-12-27 18:32:16,det,2015-12-27 18:47:56,30,29,36,18,5,0,15,37.0,36.0,118.0
0,2015-12-27,bdp_java,Android,3517085,3632081,247034,1,7,2015-12-27 18:32:16,det,2015-12-27 18:52:31,9,0,6,14,14,2,2,37.0,36.0,33.0
0,2015-12-27,bdp_java,Android,3517085,3713234,247034,1,2,2015-12-27 18:32:16,det,2015-12-27 18:32:22,6,0,15,0,4,0,0,37.0,36.0,29.0
0,2015-12-27,bdp_java,Android,3517085,4081785,247034,1,6,2015-12-27 18:32:16,det,2015-12-27 18:52:02,158,68,154,130,39,49,25,37.0,36.0,13.0
0,2015-12-27,bdp_java,Android,3517085,4453713,247034,1,13,2015-12-27 18:32:16,addf,2015-12-27 18:53:36,2,0,0,1,5,0,0,37.0,36.0,0.0
0,2015-12-27,bdp_java,Android,3517085,4453713,247034,1,13,2015-12-27 18:32:16,det,2015-12-27 18:53:34,2,0,0,1,5,0,0,37.0,36.0,0.0
